No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1178,27603,530,29311,33854
2,Kabupaten Gowa,46,823,869,0,1,20,21,181,5031,64,5276,6165
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,83,2521,9,2613,3146
4,Kabupaten Maros,15,334,349,0,0,8,8,81,2099,24,2204,2560
5,Kabupaten Sinjai,11,289,300,0,0,1,1,32,2046,4,2082,2383
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,5,1397,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,8,1288,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,44,1381,20,1445,1638
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,22,1242,22,1286,1604
10,Kabupaten Pinrang,10,591,601,0,0,5,5,19,877,43,939,1541
11,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,28,1196,30,1254,1495
12,Kota Parepare,27,250,277,0,0,0,0,5,1183,23,1211,1488
13,Kabupaten Takalar,50,108,158,0,0,2,2,91,1109,13,1213,1372
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,47,863,11,921,1364
15,Kabupaten Soppeng,3,118,121,0,0,1,1,10,1042,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,69,874,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,52,813,7,872,1046
18,Kabupaten Barru,0,81,81,0,0,1,1,40,817,4,861,943
19,Kabupaten Wajo,4,92,96,0,0,3,3,40,751,17,808,907
20,Kabupaten Luwu,0,242,242,0,0,0,0,18,592,8,618,860
21,Kabupaten Enrekang,34,308,342,0,0,3,3,6,290,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,32,341,2,375,637
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,15,437,9,461,552
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,2,217,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
