No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,330,29303,537,30170,34713
2,Kabupaten Gowa,46,823,869,0,1,20,21,34,5292,64,5390,6279
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,49,2647,9,2705,3238
4,Kabupaten Sinjai,11,289,300,0,0,1,1,73,2595,7,2675,2976
5,Kabupaten Maros,15,334,349,0,0,8,8,3,2215,25,2243,2599
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,3,1403,11,1417,1985
7,Kota Palopo,9,183,192,0,0,1,1,11,1436,20,1467,1660
8,Kabupaten Bone,0,340,340,0,0,4,4,0,1296,11,1307,1651
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,7,1293,22,1322,1640
10,Kabupaten Pinrang,10,591,601,0,0,5,5,6,914,44,964,1566
11,Kota Parepare,27,250,277,0,0,0,0,3,1208,24,1235,1512
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,5,1230,30,1265,1506
13,Kabupaten Bulukumba,34,403,437,0,2,6,8,28,968,12,1008,1451
14,Kabupaten Takalar,50,108,158,0,0,2,2,12,1217,15,1244,1403
15,Kabupaten Soppeng,3,118,121,0,0,1,1,1,1056,17,1074,1196
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,0,942,9,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,2,878,7,887,1061
18,Kabupaten Barru,0,81,81,0,0,1,1,0,859,5,864,946
19,Kabupaten Tana Toraja,4,256,260,0,0,2,2,46,616,2,664,926
20,Kabupaten Wajo,4,92,96,0,0,3,3,6,792,17,815,914
21,Kabupaten Luwu,0,242,242,0,0,0,0,0,610,8,618,860
22,Kabupaten Enrekang,34,308,342,0,0,3,3,0,296,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,2,452,9,463,554
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,0,219,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
