No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,670,28432,532,29634,34177
2,Kabupaten Gowa,46,823,869,0,1,20,21,103,5159,64,5326,6215
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,42,2594,9,2645,3178
4,Kabupaten Maros,15,334,349,0,0,8,8,46,2149,24,2219,2575
5,Kabupaten Sinjai,11,289,300,0,0,1,1,38,2070,4,2112,2413
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,2,1400,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,5,1291,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,33,1403,20,1456,1649
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,19,1262,22,1303,1621
10,Kabupaten Pinrang,10,591,601,0,0,5,5,24,886,44,954,1556
11,Kota Parepare,27,250,277,0,0,0,0,1,1206,24,1231,1508
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,6,1225,30,1261,1502
13,Kabupaten Takalar,50,108,158,0,0,2,2,73,1140,13,1226,1385
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,12,913,12,937,1380
15,Kabupaten Soppeng,3,118,121,0,0,1,1,9,1049,17,1075,1197
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,30,913,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,16,855,7,878,1052
18,Kabupaten Barru,0,81,81,0,0,1,1,5,854,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,31,764,17,812,911
20,Kabupaten Luwu,0,242,242,0,0,0,0,8,602,8,618,860
21,Kabupaten Tana Toraja,4,256,260,0,0,2,2,31,381,2,414,676
22,Kabupaten Enrekang,34,308,342,0,0,3,3,4,292,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,6,447,9,462,553
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
