No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1371,27306,527,29204,33747
2,Kabupaten Gowa,46,823,869,0,1,20,21,218,4976,64,5258,6147
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,88,2507,9,2604,3137
4,Kabupaten Maros,15,334,349,0,0,8,8,79,2084,24,2187,2543
5,Kabupaten Sinjai,11,289,300,0,0,1,1,132,1924,4,2060,2361
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,6,1395,11,1412,1980
7,Kabupaten Bone,0,340,340,0,0,4,4,11,1284,11,1306,1650
8,Kota Palopo,9,183,192,0,0,1,1,92,1322,20,1434,1627
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,23,1236,22,1281,1599
10,Kabupaten Pinrang,10,591,601,0,0,5,5,17,875,43,935,1537
11,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,39,1185,30,1254,1495
12,Kota Parepare,27,250,277,0,0,0,0,56,1131,23,1210,1487
13,Kabupaten Takalar,50,108,158,0,0,2,2,105,1090,13,1208,1367
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,49,861,11,921,1364
15,Kabupaten Soppeng,3,118,121,0,0,1,1,12,1040,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,80,858,8,946,1119
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,45,812,7,864,1038
18,Kabupaten Barru,0,81,81,0,0,1,1,45,812,4,861,943
19,Kabupaten Wajo,4,92,96,0,0,3,3,58,733,17,808,907
20,Kabupaten Luwu,0,242,242,0,0,0,0,30,575,8,613,855
21,Kabupaten Enrekang,34,308,342,0,0,3,3,10,286,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,27,315,2,344,606
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,16,436,9,461,552
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,217,5,223,407
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
