No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,178,29564,539,30281,34824
2,Kabupaten Gowa,46,823,869,0,1,20,21,17,5318,64,5399,6288
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,22,2693,9,2724,3257
4,Kabupaten Sinjai,11,289,300,0,0,1,1,17,2656,14,2687,2988
5,Kabupaten Maros,15,334,349,0,0,8,8,1,2217,25,2243,2599
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,4,1404,11,1419,1987
7,Kota Palopo,9,183,192,0,0,1,1,7,1441,21,1469,1662
8,Kabupaten Bone,0,340,340,0,0,4,4,5,1296,11,1312,1656
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,3,1298,22,1323,1641
10,Kabupaten Pinrang,10,591,601,0,0,5,5,7,922,44,973,1575
11,Kota Parepare,27,250,277,0,0,0,0,0,1211,24,1235,1512
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,1,1235,30,1266,1507
13,Kabupaten Bulukumba,34,403,437,0,2,6,8,8,995,12,1015,1458
14,Kabupaten Takalar,50,108,158,0,0,2,2,5,1225,16,1246,1405
15,Kabupaten Soppeng,3,118,121,0,0,1,1,6,1057,17,1080,1202
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,0,942,9,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,1,879,7,887,1061
18,Kabupaten Tana Toraja,4,256,260,0,0,2,2,11,675,2,688,950
19,Kabupaten Barru,0,81,81,0,0,1,1,0,859,5,864,946
20,Kabupaten Wajo,4,92,96,0,0,3,3,2,796,19,817,916
21,Kabupaten Luwu,0,242,242,0,0,0,0,0,610,8,618,860
22,Kabupaten Enrekang,34,308,342,0,0,3,3,0,296,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,3,452,9,464,555
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,2,219,5,226,410
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
