No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1359,27065,526,28950,33493
2,Kabupaten Gowa,46,823,869,0,1,20,21,229,4945,62,5236,6125
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,100,2478,9,2587,3120
4,Kabupaten Maros,15,334,349,0,0,8,8,103,2054,24,2181,2537
5,Kabupaten Sinjai,11,289,300,0,0,1,1,141,1904,4,2049,2350
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,7,1394,11,1412,1980
7,Kabupaten Bone,0,340,340,0,0,4,4,31,1264,11,1306,1650
8,Kota Palopo,9,183,192,0,0,1,1,112,1291,18,1421,1614
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,30,1225,22,1277,1595
10,Kabupaten Pinrang,10,591,601,0,0,5,5,89,797,43,929,1531
11,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,34,1182,29,1245,1486
12,Kota Parepare,27,250,277,0,0,0,0,75,1108,23,1206,1483
13,Kabupaten Takalar,50,108,158,0,0,2,2,123,1069,12,1204,1363
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,52,846,10,908,1351
15,Kabupaten Soppeng,3,118,121,0,0,1,1,13,1039,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,86,852,8,946,1119
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,23,808,7,838,1012
18,Kabupaten Barru,0,81,81,0,0,1,1,41,809,4,854,936
19,Kabupaten Wajo,4,92,96,0,0,3,3,59,728,17,804,903
20,Kabupaten Luwu,0,242,242,0,0,0,0,37,568,8,613,855
21,Kabupaten Enrekang,34,308,342,0,0,3,3,12,284,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,37,305,2,344,606
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,15,435,9,459,550
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,8,210,5,223,407
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
