No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,430,28933,534,29897,34440
2,Kabupaten Gowa,46,823,869,0,1,20,21,50,5239,64,5353,6242
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,38,2626,9,2673,3206
4,Kabupaten Sinjai,11,289,300,0,0,1,1,130,2207,4,2341,2642
5,Kabupaten Maros,15,334,349,0,0,8,8,12,2198,24,2234,2590
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,0,1402,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,1,1295,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,17,1420,20,1457,1650
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,12,1275,22,1309,1627
10,Kabupaten Pinrang,10,591,601,0,0,5,5,28,891,44,963,1565
11,Kota Parepare,27,250,277,0,0,0,0,5,1206,24,1235,1512
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,5,1228,30,1263,1504
13,Kabupaten Takalar,50,108,158,0,0,2,2,13,1205,14,1232,1391
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,3,922,12,937,1380
15,Kabupaten Soppeng,3,118,121,0,0,1,1,2,1055,17,1074,1196
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,2,941,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,12,864,7,883,1057
18,Kabupaten Barru,0,81,81,0,0,1,1,3,856,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,8,788,17,813,912
20,Kabupaten Luwu,0,242,242,0,0,0,0,3,607,8,618,860
21,Kabupaten Tana Toraja,4,256,260,0,0,2,2,39,459,2,500,762
22,Kabupaten Enrekang,34,308,342,0,0,3,3,0,296,12,308,652
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,1,452,9,462,553
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
