No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1343,27059,523,28925,33468
2,Kabupaten Gowa,46,823,869,0,1,20,21,238,4932,62,5232,6121
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,135,2442,9,2586,3119
4,Kabupaten Maros,15,334,349,0,0,8,8,108,2042,24,2174,2530
5,Kabupaten Sinjai,11,289,300,0,0,1,1,136,1897,4,2037,2338
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,7,1394,11,1412,1980
7,Kabupaten Bone,0,340,340,0,0,4,4,31,1264,11,1306,1650
8,Kota Palopo,9,183,192,0,0,1,1,116,1287,18,1421,1614
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,29,1225,22,1276,1594
10,Kabupaten Pinrang,10,591,601,0,0,5,5,89,797,43,929,1531
11,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,33,1182,29,1244,1485
12,Kota Parepare,27,250,277,0,0,0,0,81,1102,23,1206,1483
13,Kabupaten Takalar,50,108,158,0,0,2,2,133,1057,12,1202,1361
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,51,846,10,907,1350
15,Kabupaten Soppeng,3,118,121,0,0,1,1,15,1037,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,86,852,8,946,1119
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,26,805,7,838,1012
18,Kabupaten Barru,0,81,81,0,0,1,1,49,801,4,854,936
19,Kabupaten Wajo,4,92,96,0,0,3,3,59,728,17,804,903
20,Kabupaten Luwu,0,242,242,0,0,0,0,37,568,8,613,855
21,Kabupaten Enrekang,34,308,342,0,0,3,3,12,284,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,42,300,2,344,606
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,15,435,9,459,550
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,14,204,5,223,407
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
