No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1058,27813,530,29401,33944
2,Kabupaten Gowa,46,823,869,0,1,20,21,157,5078,64,5299,6188
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,81,2536,9,2626,3159
4,Kabupaten Maros,15,334,349,0,0,8,8,80,2108,24,2212,2568
5,Kabupaten Sinjai,11,289,300,0,0,1,1,32,2046,4,2082,2383
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,4,1398,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,8,1288,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,42,1385,20,1447,1640
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,21,1248,22,1291,1609
10,Kabupaten Pinrang,10,591,601,0,0,5,5,23,878,44,945,1547
11,Kota Parepare,27,250,277,0,0,0,0,24,1183,24,1231,1508
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,9,1218,30,1257,1498
13,Kabupaten Bulukumba,34,403,437,0,2,6,8,14,908,11,933,1376
14,Kabupaten Takalar,50,108,158,0,0,2,2,92,1112,13,1217,1376
15,Kabupaten Soppeng,3,118,121,0,0,1,1,9,1043,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,44,899,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,26,843,7,876,1050
18,Kabupaten Barru,0,81,81,0,0,1,1,10,849,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,34,757,17,808,907
20,Kabupaten Luwu,0,242,242,0,0,0,0,9,601,8,618,860
21,Kabupaten Enrekang,34,308,342,0,0,3,3,6,290,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,13,362,2,377,639
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,14,438,9,461,552
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
