No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,746,28221,532,29499,34042
2,Kabupaten Gowa,46,823,869,0,1,20,21,133,5121,64,5318,6207
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,62,2571,9,2642,3175
4,Kabupaten Maros,15,334,349,0,0,8,8,70,2124,24,2218,2574
5,Kabupaten Sinjai,11,289,300,0,0,1,1,17,2070,4,2091,2392
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,2,1400,11,1413,1981
7,Kabupaten Bone,0,340,340,0,0,4,4,5,1291,11,1307,1651
8,Kota Palopo,9,183,192,0,0,1,1,36,1396,20,1452,1645
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,12,1258,22,1292,1610
10,Kabupaten Pinrang,10,591,601,0,0,5,5,18,885,44,947,1549
11,Kota Parepare,27,250,277,0,0,0,0,4,1203,24,1231,1508
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,9,1220,30,1259,1500
13,Kabupaten Takalar,50,108,158,0,0,2,2,85,1123,13,1221,1380
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,13,909,12,934,1377
15,Kabupaten Soppeng,3,118,121,0,0,1,1,6,1049,17,1072,1194
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,32,911,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,18,852,7,877,1051
18,Kabupaten Barru,0,81,81,0,0,1,1,5,854,5,864,946
19,Kabupaten Wajo,4,92,96,0,0,3,3,31,762,17,810,909
20,Kabupaten Luwu,0,242,242,0,0,0,0,8,602,8,618,860
21,Kabupaten Enrekang,34,308,342,0,0,3,3,4,292,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,6,369,2,377,639
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,8,444,9,461,552
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,1,218,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
