No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,134,29695,539,30368,34911
2,Kabupaten Gowa,46,823,869,0,1,20,21,43,5327,64,5434,6323
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,12,2711,9,2732,3265
4,Kabupaten Sinjai,11,289,300,0,0,1,1,10,2669,14,2693,2994
5,Kabupaten Maros,15,334,349,0,0,8,8,7,2218,25,2250,2606
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,3,1408,11,1422,1990
7,Kota Palopo,9,183,192,0,0,1,1,7,1445,21,1473,1666
8,Kabupaten Bone,0,340,340,0,0,4,4,4,1297,11,1312,1656
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,2,1300,22,1324,1642
10,Kabupaten Pinrang,10,591,601,0,0,5,5,5,929,44,978,1580
11,Kota Parepare,27,250,277,0,0,0,0,4,1211,24,1239,1516
12,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,3,1236,30,1269,1510
13,Kabupaten Bulukumba,34,403,437,0,2,6,8,3,1002,12,1017,1460
14,Kabupaten Takalar,50,108,158,0,0,2,2,4,1230,16,1250,1409
15,Kabupaten Soppeng,3,118,121,0,0,1,1,4,1059,17,1080,1202
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,1,942,9,952,1125
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,1,879,7,887,1061
18,Kabupaten Tana Toraja,4,256,260,0,0,2,2,21,677,2,700,962
19,Kabupaten Barru,0,81,81,0,0,1,1,0,859,5,864,946
20,Kabupaten Wajo,4,92,96,0,0,3,3,0,798,19,817,916
21,Kabupaten Luwu,0,242,242,0,0,0,0,3,610,8,621,863
22,Kabupaten Enrekang,34,308,342,0,0,3,3,6,296,12,314,658
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,3,453,9,465,556
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,3,220,5,228,412
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
27,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
