No,Kabupaten/Kota,suspek follow up,suspek discarded,suspek total,probable follow up,probable sembuh,probable meninggal,probable total,konfirmasi dirawat,konfirmasi sembuh,konfirmasi meninggal,konfirmasi total,akumulasi
1,Kota Makassar,672,3728,4400,0,12,147,159,1347,27378,528,29253,33796
2,Kabupaten Gowa,46,823,869,0,1,20,21,202,4996,64,5262,6151
3,Kabupaten Luwu Timur,2,525,527,0,0,6,6,97,2507,9,2613,3146
4,Kabupaten Maros,15,334,349,0,0,8,8,82,2085,24,2191,2547
5,Kabupaten Sinjai,11,289,300,0,0,1,1,143,1924,4,2071,2372
6,Kabupaten Jeneponto,5,561,566,0,0,2,2,6,1395,11,1412,1980
7,Kabupaten Bone,0,340,340,0,0,4,4,10,1285,11,1306,1650
8,Kota Palopo,9,183,192,0,0,1,1,103,1322,20,1445,1638
9,Kabupaten Luwu Utara,0,318,318,0,0,0,0,26,1238,22,1286,1604
10,Kabupaten Pinrang,10,591,601,0,0,5,5,20,875,43,938,1540
11,Kabupaten Pangkajene Dan Kepulauan,55,185,240,0,0,2,2,37,1187,30,1254,1495
12,Kota Parepare,27,250,277,0,0,0,0,4,1183,23,1210,1487
13,Kabupaten Takalar,50,108,158,0,0,2,2,105,1093,13,1211,1370
14,Kabupaten Bulukumba,34,403,437,0,2,6,8,49,861,11,921,1364
15,Kabupaten Soppeng,3,118,121,0,0,1,1,12,1040,17,1069,1191
16,Kabupaten Sidenreng Rappang,34,136,170,0,0,4,4,73,870,8,951,1124
17,Kabupaten Bantaeng,2,172,174,0,0,0,0,53,812,7,872,1046
18,Kabupaten Barru,0,81,81,0,0,1,1,42,815,4,861,943
19,Kabupaten Wajo,4,92,96,0,0,3,3,57,734,17,808,907
20,Kabupaten Luwu,0,242,242,0,0,0,0,23,582,8,613,855
21,Kabupaten Enrekang,34,308,342,0,0,3,3,10,286,12,308,652
22,Kabupaten Tana Toraja,4,256,260,0,0,2,2,30,341,2,373,635
23,Kabupaten Kepulauan Selayar,2,86,88,0,0,3,3,15,437,9,461,552
24,Kabupaten Toraja Utara,1,182,183,0,0,1,1,2,217,5,224,408
25,Rekreasi Duta Covid19 SulSel,1,7,8,0,0,0,0,0,0,0,0,8
26,Kabupaten/Kota lain,0,0,0,0,0,0,0,0,0,0,0,0
27,RS Lain-lain,0,0,0,0,0,0,0,0,0,0,0,0
